City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Caravelas,BR,76.96,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
248,Dzilam Gonzalez,MX,85.91,broken clouds,21.2833,-88.9333,posadas
253,Pemba,MZ,75.2,broken clouds,-12.974,40.5178,Guesthouse Samotina
256,Nanakuli,US,82.4,overcast clouds,21.3906,-158.1547,Camp Pālehua
260,Cockburn Town,TC,78.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
261,Samarai,PG,83.62,overcast clouds,-10.6167,150.6667,Nuli Sapi
263,Weligama,LK,77.7,few clouds,5.9667,80.4167,Weligama Bay Resort
266,Kavieng,PG,82.2,light rain,-2.5744,150.7967,Nusa Island Retreat
272,Bonthe,SL,81.95,broken clouds,7.5264,-12.505,Bonthe Holiday Village
286,Tual,ID,83.41,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
288,Qiongshan,CN,78.8,broken clouds,20.0058,110.3542,Sun City Restaurant
289,Cabedelo,BR,78.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
294,Aboisso,CI,78.04,overcast clouds,5.4678,-3.2071,Residence Belle Vue
302,Anderson,US,75.99,clear sky,34.5334,-82.6499,The Bleckley Inn
308,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
311,Kirakira,SB,82.96,scattered clouds,-10.4544,161.9205,SanBiz Lodge
318,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
323,Kuchinarai,TH,80.62,broken clouds,16.541,104.05,โรงแรมแสงชัย
326,Kudahuvadhoo,MV,82.62,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
337,Mamallapuram,IN,82.4,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
345,Voh,NC,75.65,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
358,Boyolangu,ID,75.18,overcast clouds,-8.1181,111.8935,Yos ega cv
360,Nova Olinda Do Norte,BR,76.93,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
362,Remanso,BR,81.34,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
366,Hatillo,PR,82.0,drizzle,18.4863,-66.8254,Hotel Parador El Buen Cafe
376,Douglas,US,78.8,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
380,Lazaro Cardenas,MX,84.52,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
384,Cap Malheureux,MU,77.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
391,Kalianget,ID,80.4,few clouds,-7.05,113.9333,Pesanggrahan Garam
399,Trairi,BR,77.02,few clouds,-3.2778,-39.2689,janelas do mar
401,Dingle,PH,76.03,light rain,10.9995,122.6711,SEGAYA PROPERTY
404,Namatanai,PG,81.9,light rain,-3.6667,152.4333,Namatanai Hotel
409,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
412,Nadapuram,IN,78.58,scattered clouds,11.7,75.6667,Fabina Garden
418,Vega De Alatorre,MX,82.27,scattered clouds,20.0333,-96.6333,El Polo Norte
419,Kutum,SD,78.28,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
420,Maturin,VE,82.18,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
421,Mumford,GH,81.64,overcast clouds,5.2618,-0.759,Spanish Villa
427,Timbiqui,CO,79.59,moderate rain,2.7717,-77.6654,hotel diana
435,Sinnamary,GF,78.37,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
437,Kavaratti,IN,83.71,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
440,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,Poutur Pousada
441,Dabakala,CI,80.37,overcast clouds,8.3667,-4.4333,Hôtel Campement
442,Altamira,BR,82.4,few clouds,-3.2033,-52.2064,Requinte Hotel
447,Luanda,AO,80.6,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
450,Dhidhdhoo,MV,83.73,few clouds,6.8833,73.1,Dhidhoo beach
451,Destin,US,82.4,clear sky,30.3935,-86.4958,Inn On Destin Harbor
460,Le Moule,GP,82.4,broken clouds,16.3332,-61.3473,Lakaz Hananou
461,Bhinga,IN,78.06,clear sky,27.7167,81.9333,Kakardari office
