City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Yellowknife,CA,2021-04-21 21:14:13,62.456,-114.3525,23.0,63,90,23.02
67,Kalmunai,LK,2021-04-21 21:16:09,7.4167,81.8167,79.21,78,68,3.49
68,Qaanaaq,GL,2021-04-21 21:16:10,77.484,-69.3632,14.14,75,97,7.47
69,Luderitz,NA,2021-04-21 21:16:10,-26.6481,15.1594,67.23,68,100,8.48
70,Saint-Philippe,RE,2021-04-21 21:16:10,-21.3585,55.7679,77.0,78,0,14.97
71,Miles City,US,2021-04-21 21:16:11,46.4083,-105.8406,50.0,27,1,6.91
72,Hamilton,US,2021-04-21 21:16:11,39.1834,-84.5333,42.01,81,90,25.32
73,Faya,SA,2021-04-21 21:16:12,18.3851,42.4509,64.4,51,0,7.25
74,Anyksciai,LT,2021-04-21 21:16:13,55.5256,25.1026,43.0,73,74,7.83
75,Latung,PH,2021-04-21 21:16:13,5.5,120.8833,81.81,74,51,0.67
76,Asau,RO,2021-04-21 21:16:13,46.4333,26.4,44.01,56,7,5.84
77,Norman Wells,CA,2021-04-21 21:16:14,65.282,-126.8329,28.4,59,40,19.57
78,Vostok,RU,2021-04-21 21:16:14,46.4856,135.8833,39.83,45,0,3.38
79,Touros,BR,2021-04-21 21:16:15,-5.1989,-35.4608,80.6,83,20,9.22
80,Sergeyevka,KZ,2021-04-21 21:16:15,53.88,67.4158,38.7,72,47,6.46
81,Necochea,AR,2021-04-21 21:16:16,-38.5473,-58.7368,72.0,61,1,13.0
82,Kenora,CA,2021-04-21 21:16:18,49.8167,-94.4337,41.0,45,40,5.75
83,Calama,CL,2021-04-21 21:14:07,-22.4667,-68.9333,71.6,15,0,14.97
84,Avarua,CK,2021-04-21 21:16:19,-21.2078,-159.775,80.6,69,75,16.11
85,Goderich,CA,2021-04-21 21:16:19,43.7501,-81.7165,32.0,69,42,13.8
86,Santa Cruz,BO,2021-04-21 21:16:20,-17.8,-63.1667,82.4,74,40,17.27
87,Oyama,JP,2021-04-21 21:16:21,36.3,139.8,63.0,75,20,6.91
88,Tuscaloosa,US,2021-04-21 21:12:41,33.2098,-87.5692,60.8,29,1,13.8
89,Kilindoni,TZ,2021-04-21 21:16:23,-7.9139,39.6668,80.62,78,73,15.14
