City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Robinson,US,31.4677,-97.1147,82.99,47,1,12.66,clear sky
80,Mizan Teferi,ET,6.9833,35.5833,61.14,95,100,1.59,overcast clouds
81,East Millcreek,US,40.7,-111.8105,57.0,66,90,23.02,overcast clouds
82,Djambala,CG,-2.5447,14.7533,70.18,85,13,2.39,few clouds
83,Karratha,AU,-20.7377,116.8463,75.65,49,0,7.87,clear sky
84,Mogadishu,SO,2.0371,45.3438,82.87,75,99,11.39,overcast clouds
85,Cidreira,BR,-30.1811,-50.2056,68.0,65,86,11.74,overcast clouds
86,Pavilosta,LV,56.8879,21.1859,37.4,93,90,5.75,overcast clouds
87,Springdale,US,36.1867,-94.1288,73.4,38,1,14.97,clear sky
88,Nouadhibou,MR,20.931,-17.0347,64.4,94,0,12.66,clear sky
89,Loreto,MX,22.2667,-101.9667,85.44,15,59,9.46,broken clouds
90,Pevek,RU,69.7008,170.3133,21.51,88,100,10.76,overcast clouds
91,Mount Gambier,AU,-37.8333,140.7667,53.6,94,90,5.75,overcast clouds
92,Lebanon,US,36.2081,-86.2911,68.0,40,1,5.75,clear sky
93,Lebu,CL,-37.6167,-73.65,55.8,90,0,10.47,clear sky
94,Seoul,KR,37.5683,126.9778,60.8,25,40,8.05,scattered clouds
95,Hasaki,JP,35.7333,140.8333,53.01,37,20,20.71,few clouds
96,Cape Town,ZA,-33.9258,18.4232,62.6,94,75,4.61,broken clouds
97,Onverwacht,SR,5.5833,-55.1833,79.0,89,20,9.22,few clouds
98,Prince Rupert,CA,54.3161,-130.3201,62.6,22,1,8.05,clear sky
99,Sombrio,BR,-29.1139,-49.6167,66.56,83,25,10.27,scattered clouds
100,Somerset East,ZA,-32.7217,25.588,70.79,29,100,6.44,overcast clouds
101,Boyolangu,ID,-8.1181,111.8935,75.34,88,87,0.96,overcast clouds
102,Sitka,US,57.0531,-135.33,57.2,41,20,3.44,few clouds
103,Leshukonskoye,RU,64.8989,45.7622,39.7,93,100,5.91,overcast clouds
104,Yumen,CN,40.2833,97.2,35.31,17,47,8.12,scattered clouds
105,Mahebourg,MU,-20.4081,57.7,77.0,88,75,14.97,light rain
106,Samarai,PG,-10.6167,150.6667,84.2,73,80,12.24,broken clouds
107,Cedar Rapids,US,42.0083,-91.6441,52.0,43,1,20.71,clear sky
108,Souillac,MU,-20.5167,57.5167,77.0,88,75,14.97,broken clouds
109,Kununurra,AU,-15.7667,128.7333,77.0,50,99,5.75,overcast clouds
110,Chicama,PE,-7.8447,-79.1469,64.4,88,0,11.5,clear sky
111,Vila Velha,BR,-20.3297,-40.2925,78.8,83,20,6.91,few clouds
112,New Norfolk,AU,-42.7826,147.0587,62.01,74,98,3.0,overcast clouds
113,Hualmay,PE,-11.0964,-77.6139,67.73,84,21,7.81,few clouds
114,Rawson,AR,-43.3002,-65.1023,61.57,57,83,22.41,broken clouds
